"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid","mlbamid"
"C.D. Pelham","TEX","8.22","4.70","1.75","0.00","18.4%","10.5%","7.9%",".353","2.09",".444","62.5%","151","66","89","7.04","2.90","4.14","3.76","4.22","19820","641962"
"Zack Britton","- - -","8.90","3.41","2.61","0.36","24.9%","9.5%","15.3%",".200","1.10",".265","83.1%","44","65","64","1.89","2.90","-1.02","2.78","2.58","3240","502154"
"Danny Hultzen","CHC","13.50","5.40","2.50","0.00","27.8%","11.1%","16.7%",".267","1.80",".400","100.0%","0","65","79","0.00","2.91","-2.91","3.51","3.71","12874","543343"
"Noah Syndergaard","NYM","9.74","2.09","4.67","0.79","26.4%","5.6%","20.7%",".241","1.16",".314","73.4%","84","72","76","3.31","2.92","0.39","3.17","3.37","11762","592789"
"Craig Kimbrel","- - -","14.37","3.71","3.87","1.09","40.0%","10.3%","29.6%",".164","0.99",".252","82.1%","65","70","65","2.79","2.92","-0.13","2.75","2.32","6655","518886"
"Rowan Wick","- - -","9.07","3.67","2.47","0.22","23.6%","9.6%","14.0%",".222","1.25",".296","67.2%","77","68","101","3.24","2.94","0.30","4.38","4.09","14646","592858"
"David Robertson","- - -","11.85","3.33","3.56","0.90","32.5%","9.1%","23.3%",".190","1.07",".264","76.0%","73","69","73","3.03","2.98","0.05","3.11","2.83","8241","502085"
"Kyle Crockett","- - -","9.07","3.43","2.65","0.40","22.4%","8.5%","13.9%",".291","1.57",".378","63.6%","119","72","86","5.04","2.99","2.05","3.55","3.51","15033","641490"
"Will Harris","HOU","9.55","2.18","4.38","0.82","27.0%","6.2%","20.8%",".203","0.99",".259","81.4%","57","71","70","2.36","2.99","-0.63","2.99","2.89","3192","501789"
"A.J. Minter","ATL","11.07","4.00","2.77","0.60","27.8%","10.1%","17.8%",".254","1.45",".354","71.8%","99","71","90","4.26","3.00","1.26","3.81","3.61","18655","621345"
"Joe Thatcher","HOU","10.32","4.76","2.17","0.40","26.0%","12.0%","14.0%",".261","1.54",".361","80.4%","82","74","92","3.18","3.00","0.18","3.73","3.60","4620","491159"
"Edwin Diaz","- - -","14.46","3.11","4.65","1.27","38.9%","8.4%","30.5%",".203","1.10",".311","80.1%","81","71","61","3.33","3.01","0.31","2.67","2.31","14710","621242"
