"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid","mlbamid"
"Anderson Severino","CHW","11.05","4.91","2.25","0.00","26.5%","11.8%","14.7%",".250","1.50",".368","61.5%","157","76","105","6.14","3.11","3.02","4.12","3.40","20582","644429"
"Andrew Knizner","STL","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".333","1.50",".333","100.0%","0","80","133","0.00","3.11","-3.11","5.33","5.92","19514","668800"
"Darick Hall","PHI","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".500","3.00",".500","100.0%","0","77","188","0.00","3.11","-3.11","7.55","8.30","19717","669742"
"Aroldis Chapman","NYY","14.39","5.29","2.72","0.85","38.0%","14.0%","24.0%",".169","1.19",".271","78.8%","71","73","75","3.00","3.11","-0.11","3.16","3.13","10233","547973"
"Camilo Doval","SFG","11.12","3.71","3.00","0.76","29.6%","9.9%","19.7%",".207","1.18",".286","75.4%","67","80","74","2.66","3.12","-0.46","2.99","2.99","21992","666808"
"Blake Treinen","- - -","10.12","3.42","2.96","0.67","27.4%","9.3%","18.2%",".195","1.10",".259","77.5%","58","72","78","2.49","3.12","-0.63","3.40","3.43","12572","595014"
"Jack Mayfield","- - -","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".200","0.75",".200","100.0%","0","76","135","0.00","3.13","-3.13","5.35","5.98","15402","608686"
"Darin Ruf","- - -","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".308","1.33",".308","50.0%","146","80","194","6.00","3.13","2.87","7.95","8.18","9929","573131"
"Shane McClanahan","TBR","10.41","2.33","4.47","1.03","28.9%","6.5%","22.5%",".219","1.07",".286","79.7%","75","80","70","2.92","3.13","-0.21","2.87","3.17","21483","663556"
"Chris Rodriguez","LAA","8.80","4.55","1.93","0.00","21.6%","11.2%","10.4%",".243","1.45",".326","70.2%","83","71","101","3.64","3.14","0.50","4.33","4.29","22310","669735"
"Joely Rodriguez","- - -","9.96","4.03","2.47","0.58","25.5%","10.3%","15.2%",".242","1.39",".323","66.3%","106","76","81","4.28","3.14","1.14","3.36","3.51","11487","570257"
"Luis Severino","NYY","10.32","2.40","4.30","0.95","28.4%","6.6%","21.8%",".218","1.08",".285","77.1%","77","75","78","3.18","3.14","0.04","3.22","3.29","15890","622663"
"Seranthony Dominguez","PHI","11.03","3.74","2.95","0.74","29.9%","10.2%","19.8%",".188","1.10",".259","75.0%","76","75","80","3.14","3.14","0.00","3.29","3.17","19249","622554"
"Brooks Raley","- - -","11.23","2.71","4.14","0.88","30.1%","7.3%","22.8%",".203","1.06",".276","65.0%","94","77","77","3.89","3.15","0.74","3.19","2.93","10061","548384"
"Marwin Gonzalez","- - -","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","75","106","0.00","3.16","-3.16","4.48","3.79","5497","503556"
"Brandon Guyer","CLE","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","75","152","0.00","3.16","-3.16","6.46","7.37","2636","446386"
"Chase d'Arnaud","SFG","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","81","200","0.00","3.16","-3.16","8.12","10.55","6652","488818"
"Greg Garcia","STL","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".333","1.00",".333","100.0%","0","79","119","0.00","3.16","-3.16","4.81","4.75","10951","594824"
"Mitch Garver","MIN","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","75","114","0.00","3.16","-3.16","4.81","5.18","15161","641598"
"Ian Happ","CHC","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","78","119","0.00","3.16","-3.16","4.81","5.18","17919","664023"
"Scott Kingery","PHI","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".500","3.00",".500","50.0%","336","75","108","13.50","3.16","10.34","4.40","4.51","17975","664068"
"Carlos Tocci","TEX","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","72","191","0.00","3.16","-3.16","8.12","13.28","14558","624636"
"Phillip Ervin","CIN","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","75","78","0.00","3.16","-3.16","3.16","-1.16","14738","640447"
"Osmer Morales","LAA","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".500","3.00",".500","100.0%","0","74","75","0.00","3.16","-3.16","3.16","3.68","17133","591672"
"Xavier Cedeno","- - -","8.92","4.84","1.84","0.25","22.9%","12.4%","10.5%",".224","1.39",".296","81.9%","55","74","91","2.29","3.16","-0.87","3.85","4.06","36","458584"
"Logan Webb","SFG","8.37","2.55","3.28","0.60","22.4%","6.8%","15.6%",".246","1.22",".309","70.5%","85","79","80","3.48","3.17","0.31","3.34","3.66","17995","657277"
"Justin Turner","LAD","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".400","2.00",".400","100.0%","0","74","158","0.00","3.17","-3.17","6.70","6.25","5235","457759"
"Adam Eaton","LAA","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".400","2.00",".400","100.0%","0","72","156","0.00","3.17","-3.17","6.70","5.59","11205","594809"
"Phillip Evans","PIT","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","74","158","0.00","3.17","-3.17","6.70","9.97","12950","595943"
"Wyatt Mathisen","ARI","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","76","158","0.00","3.17","-3.17","6.70","7.13","14555","621500"
