"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid","mlbamid"
"Jared Walsh","LAA","1234","7.0%","27.6%","0.25",".250",".308",".458",".766",".208","3.3",".308","-3.1","2.7","-0.9","159","11.5",".324","105","18607","665120"
"Jordan Luplow","- - -","883","12.2%","24.3%","0.50",".214",".317",".436",".754",".223","4.4",".238","1.1","-1.5","-1.8","114","7.4",".324","105","16424","656669"
"Robinson Cano","- - -","1057","6.6%","15.6%","0.42",".271",".325",".438",".762",".167","1.3",".294","-0.9","-3.0","-0.6","135","6.6",".324","107","3269","429664"
"Jose Bautista","- - -","399","16.8%","27.8%","0.60",".203",".348",".378",".727",".175","2.9",".262","0.1","1.0","-0.7","50","3.1",".324","106","1887","430832"
"Austin Hays","BAL","1320","5.8%","19.6%","0.30",".259",".313",".439",".752",".181","4.0",".293","3.2","1.4","-3.2","169","12.2",".324","107","19363","669720"
"Mike Moustakas","- - -","1873","8.6%","19.1%","0.45",".240",".314",".451",".765",".211","2.8",".255","-6.5","0.0","0.5","239","13.6",".324","99","4892","519058"
"Rowdy Tellez","- - -","1533","8.3%","22.4%","0.37",".236",".307",".462",".769",".226","2.0",".255","-6.5","-2.3","-1.7","195","11.7",".324","104","15679","642133"
"Jazz Chisholm Jr.","MIA","810","7.4%","28.4%","0.26",".243",".305",".449",".754",".206","7.5",".303","3.2","2.5","0.6","103","6.0",".323","106","20454","665862"
"Vinny Capra","TOR","7","28.6%","14.3%","2.00",".200",".429",".200",".629",".000","2.6",".250","-0.1","0.0","0.0","1","0.1",".323","112","25040","681962"
"Bryan De La Cruz","MIA","574","6.4%","24.9%","0.26",".269",".318",".430",".748",".161","3.4",".333","-0.6","-2.0","0.1","73","5.4",".323","108","19600","650559"
"Khris Davis","- - -","1400","9.0%","27.0%","0.33",".230",".307",".456",".763",".226","1.9",".262","-5.1","-2.9","-0.7","176","5.9",".323","106","9112","501981"
"Oneil Cruz","PIT","370","7.6%","35.1%","0.22",".235",".295",".456",".750",".221","6.4",".321","0.4","1.5","0.1","46","3.8",".323","107","21711","665833"
"Christian Villanueva","SDP","384","6.0%","27.1%","0.22",".236",".299",".450",".750",".214","3.0",".276","0.0","-1.4","0.4","47","2.5",".323","104","11738","570799"
"Asdrubal Cabrera","- - -","1671","9.2%","20.5%","0.45",".252",".322",".432",".754",".180","3.1",".288","-7.7","-0.6","0.0","211","8.0",".323","99","4962","452678"
"Nick Fortes","MIA","274","7.7%","19.3%","0.40",".238",".310",".427",".738",".190","5.7",".253","0.4","-0.1","-0.3","34","2.8",".322","109","21538","663743"
"Christopher Morel","CHC","425","8.9%","32.2%","0.28",".235",".308",".433",".741",".198","5.9",".320","2.4","0.7","-1.2","53","4.3",".322","108","21897","666624"
"Tommy La Stella","- - -","1178","7.9%","10.4%","0.76",".269",".331",".414",".746",".146","2.4",".278","-2.0","-2.0","-1.1","150","6.7",".322","103","12371","600303"
"Oswaldo Cabrera","NYY","171","8.8%","25.7%","0.34",".247",".312",".429",".740",".182","4.7",".305","0.2","0.6","-0.4","21","1.7",".322","111","21707","665828"
"Max Kepler","MIN","2339","10.9%","16.8%","0.65",".229",".321",".429",".749",".199","4.0",".239","4.8","4.8","-2.4","295","14.0",".322","104","12144","596146"
"Bobby Dalbec","BOS","898","7.5%","34.9%","0.21",".232",".298",".456",".754",".224","4.5",".312","-1.7","2.9","0.3","114","7.1",".322","101","19966","666915"
"LaMonte Wade Jr.","- - -","745","9.9%","21.2%","0.47",".231",".321",".421",".742",".190","4.9",".262","-2.0","1.9","-0.3","94","5.4",".322","104","18126","664774"
"Daniel Murphy","- - -","961","6.1%","14.0%","0.44",".280",".324",".436",".760",".156","2.6",".301","-2.4","-0.4","-0.2","121","3.1",".322","90","4316","502517"
"Dansby Swanson","ATL","2691","8.1%","24.7%","0.33",".257",".321",".434",".755",".177","5.0",".314","11.8","5.3","0.6","338","15.0",".322","99","18314","621020"
"Anthony Santander","BAL","1763","6.4%","20.1%","0.32",".245",".301",".456",".757",".211","2.3",".263","1.2","3.3","-3.1","222","10.5",".322","104","14551","623993"
"Ryan McBroom","KCR","177","6.8%","34.5%","0.20",".268",".322",".427",".749",".159","0.9",".392","-0.4","-0.5","-0.1","23","0.3",".322","99","16524","643436"
"Danny Santana","- - -","733","6.1%","29.5%","0.21",".250",".302",".470",".771",".220","7.2",".312","2.9","0.9","1.4","93","2.1",".321","93","10322","542454"
"Tyler White","- - -","516","11.6%","24.6%","0.47",".240",".329",".411",".741",".171","2.2",".298","-1.5","1.0","-0.7","64","0.9",".321","104","15564","643603"
"Brad Miller","- - -","1213","10.3%","29.3%","0.35",".234",".315",".433",".748",".199","4.1",".294","-3.3","2.0","0.3","153","6.9",".321","102","12775","543543"
"Gavin Sheets","CHW","589","7.3%","21.4%","0.34",".244",".304",".439",".743",".196","0.8",".270","-3.4","-0.6","-0.5","73","4.9",".321","107","19901","657757"
"Seth Brown","OAK","950","8.5%","27.4%","0.31",".229",".298",".454",".752",".225","5.2",".272","-1.9","2.9","1.3","118","6.6",".321","112","18171","664913"
"David Dahl","- - -","1003","6.1%","26.4%","0.23",".262",".309",".454",".763",".192","5.3",".326","0.3","2.8","-1.5","126","3.4",".321","88","13744","621311"
"Justin Upton","- - -","1454","10.5%","29.4%","0.36",".227",".317",".427",".743",".200","3.2",".278","-0.5","-1.0","-0.9","181","5.6",".321","102","5222","457708"
"Eddie Rosario","- - -","2095","5.4%","16.8%","0.32",".266",".304",".457",".761",".191","4.5",".282","1.9","5.0","1.4","262","8.8",".321","101","12155","592696"
"Christian Arroyo","- - -","651","5.5%","21.2%","0.26",".268",".320",".420",".741",".152","4.1",".321","-2.1","-0.1","0.3","81","3.8",".321","102","16434","624414"
"Ian Desmond","COL","1101","7.9%","24.1%","0.33",".244",".308",".447",".755",".202","6.1",".290","1.4","-3.4","0.3","136","3.4",".321","85","6885","435622"
"Rafael Marchan","PHI","65","7.7%","18.5%","0.42",".267",".323",".417",".740",".150","4.4",".304","-0.1","0.1","-0.1","8","0.3",".320","99","21646","665561"
"Dustin Garneau","- - -","229","9.2%","25.8%","0.36",".222",".310",".439",".749",".217","2.6",".260","-1.4","-0.3","-0.1","29","0.3",".320","101","9433","572863"
"Luis Urias","- - -","1464","10.3%","21.4%","0.48",".239",".333",".395",".728",".156","3.4",".281","0.2","-1.5","-2.0","182","6.3",".320","101","16622","649966"
"Mark Trumbo","BAL","389","6.7%","23.7%","0.28",".253",".306",".437",".743",".184","1.1",".294","-0.8","-1.0","-0.2","47","1.3",".320","101","6876","444432"
"Omar Narvaez","- - -","1671","10.2%","20.2%","0.51",".254",".337",".397",".734",".143","1.5",".297","-5.5","0.1","-2.1","208","6.2",".320","102","13338","553882"
"Colin Moran","- - -","1655","8.5%","22.2%","0.38",".264",".329",".416",".745",".151","1.5",".316","-13.5","-0.9","-2.2","205","4.2",".320","98","16909","592567"
"Brett Gardner","NYY","1778","11.4%","19.7%","0.58",".236",".327",".412",".739",".176","6.3",".268","9.6","5.0","2.4","221","4.7",".320","101","9927","458731"
"Jedd Gyorko","- - -","638","10.7%","21.8%","0.49",".245",".328",".407",".735",".163","3.4",".284","-3.0","-2.1","0.4","78","1.1",".319","101","10816","576397"
"Juan Yepez","STL","274","5.8%","22.3%","0.26",".253",".296",".447",".742",".194","0.9",".283","-1.4","-0.1","-0.2","33","2.1",".319","109","18400","660766"
"Jake Fraley","- - -","582","12.7%","25.8%","0.49",".224",".330",".393",".724",".169","4.5",".274","1.0","1.0","1.0","71","2.2",".319","103","19260","641584"
"Joe Mauer","MIN","543","9.4%","15.8%","0.59",".282",".351",".379",".729",".097","2.2",".330","0.6","0.0","-0.8","65","1.8",".319","100","1857","408045"
"Rob Refsnyder","- - -","471","11.0%","26.1%","0.42",".249",".340",".377",".717",".128","2.4",".327","1.9","-0.3","-1.3","57","1.8",".319","104","13770","608701"
"Dominic Smith","NYM","1190","6.8%","23.9%","0.28",".253",".315",".429",".744",".175","2.8",".308","-2.6","1.0","-1.5","148","4.0",".319","104","15653","642086"
"Evan Longoria","SFG","1818","7.6%","22.2%","0.34",".250",".312",".438",".750",".187","3.3",".287","-1.3","-4.9","-1.4","224","4.3",".319","101","9368","446334"
"Domingo Santana","- - -","826","10.0%","32.2%","0.31",".247",".325",".418",".743",".171","3.6",".345","0.3","0.0","-0.4","102","0.2",".319","101","10348","570267"
"Daulton Varsho","ARI","1022","8.6%","24.0%","0.36",".234",".306",".432",".738",".199","6.0",".272","5.4","1.5","1.4","125","5.0",".319","101","19918","662139"
"Matt Joyce","- - -","701","15.0%","22.1%","0.68",".236",".351",".368",".720",".132","1.8",".288","-0.5","0.6","-1.1","86","0.8",".318","98","3353","459964"
"D.J. Stewart","BAL","622","13.2%","26.8%","0.49",".213",".327",".400",".728",".188","2.2",".256","1.8","1.1","-1.1","77","0.8",".318","99","17766","621466"
"Robbie Grossman","- - -","2287","12.9%","21.5%","0.60",".240",".343",".378",".721",".138","4.6",".294","-6.8","4.5","1.2","281","6.0",".318","103","5254","543257"
"Brendan McKay","TBR","11","9.1%","18.2%","0.50",".200",".273",".500",".773",".300","2.6",".143","","","0.0","1","0.0",".318","102","20186","656713"
"Charles Leblanc","MIA","169","7.1%","31.4%","0.23",".263",".320",".404",".723",".141","3.6",".374","0.9","0.7","-0.2","20","1.1",".318","107","19813","641779"
"Tom Murphy","- - -","744","9.4%","32.7%","0.29",".238",".312",".433",".745",".195","2.6",".321","-0.2","0.6","-0.5","92","1.3",".318","102","13499","608596"
"Jurickson Profar","- - -","2384","10.0%","15.1%","0.67",".241",".326",".403",".729",".163","5.1",".260","2.1","0.1","3.0","290","5.3",".318","101","10815","595777"
"Brendan Rodgers","COL","1098","6.3%","19.9%","0.32",".266",".318",".414",".732",".148","2.6",".312","2.7","-3.3","-1.0","134","4.4",".318","87","17907","663898"
"Brian Goodwin","- - -","1073","9.7%","27.8%","0.35",".241",".319",".425",".744",".184","5.0",".308","-2.1","4.3","0.6","132","0.4",".318","98","12858","571718"
"Lorenzo Cain","MIL","1706","9.3%","16.8%","0.55",".270",".344",".380",".724",".110","4.9",".313","8.4","-1.2","3.4","208","2.2",".318","96","9077","456715"
"Aledmys Diaz","- - -","1404","6.0%","15.5%","0.39",".258",".310",".434",".743",".176","2.3",".273","-5.3","-2.7","-2.2","171","3.9",".318","102","15937","649557"
"Austin Nola","- - -","1042","8.5%","16.9%","0.51",".263",".336",".395",".731",".132","2.7",".298","1.4","0.1","-1.1","128","2.7",".318","104","15941","543592"
"Andrew Vaughn","CHW","1024","7.0%","19.2%","0.37",".255",".315",".414",".730",".160","2.1",".288","-3.9","-1.8","-1.1","125","4.4",".317","104","26197","683734"
"Carlos Gonzalez","- - -","670","8.2%","24.6%","0.33",".258",".319",".423",".742",".164","4.2",".322","2.5","1.7","-1.5","80","0.2",".317","87","7287","471865"
"Dylan Carlson","STL","1226","9.0%","22.9%","0.39",".247",".323",".407",".730",".160","4.4",".304","2.7","1.3","-1.1","150","4.1",".317","103","20126","666185"
"Jed Lowrie","- - -","1384","10.3%","20.2%","0.51",".245",".324",".402",".726",".156","1.8",".285","-3.6","2.3","-0.8","167","3.5",".317","105","4418","476704"
"Tommy Edman","STL","1897","6.1%","16.6%","0.37",".269",".322",".410",".732",".141","7.1",".308","11.2","2.6","8.8","232","3.7",".317","102","19470","669242"
"Miguel Andujar","- - -","1022","4.0%","16.8%","0.24",".270",".299",".444",".744",".175","3.5",".294","2.4","-1.3","-0.6","122","1.4",".317","100","15878","609280"
"Kyle Stowers","BAL","98","5.1%","29.6%","0.17",".253",".306",".418",".724",".165","3.5",".339","-0.5","-0.3","-0.1","12","0.5",".316","107","26151","669065"
"Albert Pujols","- - -","1853","6.6%","13.9%","0.47",".246",".302",".444",".745",".198","2.0",".240","-9.1","-7.0","-0.5","223","-0.2",".316","99","1177","405395"
"Curt Casali","- - -","892","11.3%","26.5%","0.43",".236",".331",".396",".727",".160","1.8",".300","-1.1","1.3","-1.1","108","0.4",".316","96","12510","592200"
"Tyler Naquin","- - -","1406","5.6%","24.7%","0.23",".258",".306",".436",".742",".178","4.1",".316","3.3","0.4","-1.9","171","1.3",".316","95","13359","571980"
"Randal Grichuk","- - -","2404","5.2%","23.9%","0.22",".247",".292",".453",".745",".206","3.5",".282","-4.0","-3.8","-2.4","290","0.7",".316","95","10243","545341"
"Andrew Stevenson","WSN","383","7.8%","27.7%","0.28",".263",".334",".393",".728",".130","4.3",".355","-0.1","0.8","-0.8","47","0.2",".316","95","17932","664057"
"Trevor Plouffe","PHI","12","0.0%","50.0%","0.00",".250",".250",".500",".750",".250","0.1",".400","0.0","0.1","0.0","1","0.0",".316","97","7462","461858"
"Nolan Gorman","STL","313","8.9%","32.9%","0.27",".226",".300",".420",".721",".194","3.0",".301","-0.8","0.8","-0.1","37","1.5",".316","107","22263","669357"
"Enrique Hernandez","- - -","2057","9.1%","18.8%","0.48",".241",".316",".420",".736",".179","3.9",".267","6.6","1.0","-1.0","248","0.9",".316","97","10472","571771"
"Adolis Garcia","- - -","1303","5.6%","29.8%","0.19",".243",".290",".449",".739",".206","6.0",".305","1.1","0.7","2.8","157","3.6",".316","103","19287","666969"
"Lane Thomas","- - -","896","9.6%","24.1%","0.40",".237",".314",".412",".726",".175","4.8",".286","-0.6","-0.6","-1.0","108","2.7",".316","99","16939","657041"
"Brandon Crawford","SFG","2354","9.0%","20.8%","0.44",".254",".328",".409",".737",".155","3.8",".298","0.7","2.4","-3.1","283","0.1",".316","99","5343","543063"
"Maikel Garcia","KCR","23","4.3%","21.7%","0.20",".318",".348",".364",".711",".045","0.3",".412","-0.1","-0.1","0.0","3","0.1",".315","102","22715","672580"
"Eric Hosmer","- - -","2484","7.9%","20.0%","0.40",".265",".325",".409",".734",".145","2.8",".310","-11.6","-4.8","-3.2","298","-0.6",".315","100","3516","543333"
"Santiago Espinal","TOR","803","7.7%","14.2%","0.54",".280",".338",".378",".715",".097","3.6",".320","3.5","-0.6","-1.0","96","2.2",".315","102","19997","669289"
"Yadiel Hernandez","WSN","644","6.5%","22.5%","0.29",".267",".315",".412",".727",".145","3.2",".321","-4.5","-2.2","0.0","77","1.4",".315","98","19334","628450"
"Daniel Robertson","- - -","691","11.9%","24.6%","0.48",".235",".349",".352",".701",".117","3.1",".308","1.2","-1.6","-1.4","82","-1.6",".315","100","14145","621002"
"Peter O'Brien","MIA","121","9.1%","33.9%","0.27",".231",".306",".426",".732",".194","2.4",".317","0.2","-0.4","0.1","14","-0.4",".315","100","13288","598284"
"Danny Jansen","TOR","1079","9.5%","19.9%","0.48",".223",".307",".423",".731",".201","2.2",".236","-1.5","1.7","-0.9","129","-2.4",".315","98","16535","643376"
"Ben Gamel","- - -","1599","11.4%","25.5%","0.45",".247",".338",".378",".716",".131","4.1",".327","1.9","1.5","-3.8","191","-0.6",".315","97","12160","592325"
"Thairo Estrada","- - -","794","5.8%","18.4%","0.32",".255",".316",".405",".721",".150","5.7",".286","2.3","1.1","2.3","94","1.4",".314","102","16426","642731"
"Chris Iannetta","COL","524","13.0%","26.9%","0.48",".223",".335",".395",".730",".172","1.6",".284","-1.2","-4.2","-0.3","62","-0.9",".314","81","8267","455104"
"Adam Frazier","- - -","2431","7.4%","12.5%","0.59",".271",".333",".390",".723",".119","4.4",".300","5.0","-0.3","-5.5","291","-1.2",".314","98","15223","624428"
"Josh Rojas","ARI","1287","10.7%","22.7%","0.47",".256",".336",".378",".714",".123","5.1",".324","7.6","1.4","2.0","154","0.3",".314","96","19734","668942"
"Tyler Austin","- - -","447","9.6%","36.2%","0.27",".214",".291",".452",".743",".239","3.9",".276","2.0","1.3","-0.4","53","-1.1",".314","96","11850","592122"
"Hunter Dozier","KCR","2203","8.3%","26.5%","0.31",".240",".307",".426",".734",".186","4.9",".302","-8.4","-2.8","-3.0","265","-0.8",".314","96","15117","641531"
"Mark Zagunis","CHC","46","10.9%","37.0%","0.29",".268",".348",".366",".714",".098","0.3",".458","-0.1","-0.2","0.0","5","-0.3",".314","92","16565","657145"
"Jeimer Candelario","DET","2304","9.6%","24.0%","0.40",".239",".320",".401",".721",".162","3.5",".295","-0.5","5.0","-2.3","274","-1.7",".314","99","13621","600869"
"Jose Iglesias","- - -","2122","3.8%","12.5%","0.30",".287",".322",".404",".726",".118","4.0",".316","2.6","-2.7","-3.1","252","-3.0",".314","91","10231","578428"
"Nate Eaton","KCR","122","8.2%","24.6%","0.33",".264",".331",".387",".717",".123","9.0",".346","1.4","0.0","1.7","14","0.4",".313","101","25055","681987"
"Josh Naylor","- - -","1131","7.3%","17.8%","0.41",".253",".312",".417",".728",".164","3.1",".281","-2.4","-1.8","0.1","134","-1.3",".313","100","18839","647304"
"Kurt Suzuki","- - -","1232","6.5%","13.9%","0.47",".248",".316",".411",".726",".162","1.5",".256","-4.5","-0.9","-1.1","146","-2.2",".313","94","8259","435559"
"Avisail Garcia","- - -","2017","6.2%","25.1%","0.25",".253",".309",".424",".733",".171","3.7",".304","-3.4","-2.8","-1.3","240","-3.1",".313","98","5760","541645"
"Joey Wendle","- - -","1864","5.6%","18.3%","0.30",".271",".323",".403",".726",".132","5.9",".321","2.8","1.4","1.5","220","-2.9",".313","102","13853","621563"
"Robinson Chirinos","- - -","1277","10.2%","30.5%","0.33",".216",".321",".395",".715",".179","2.8",".286","-7.5","-1.9","-0.9","151","-2.7",".313","94","3142","455139"
"Matt Beaty","- - -","603","6.8%","16.4%","0.41",".249",".320",".405",".725",".156","5.1",".275","0.6","-1.2","0.1","72","-1.8",".313","95","17710","607461"
"Yermin Mercedes","- - -","346","8.4%","18.2%","0.46",".261",".327",".389",".715",".127","2.1",".303","-0.1","-0.3","-0.7","41","-0.2",".313","99","17423","606213"
"Harrison Bader","- - -","1672","7.9%","25.7%","0.31",".245",".319",".407",".726",".162","6.4",".310","7.2","4.6","4.0","197","-3.9",".313","98","18030","664056"
"Matt Duffy","- - -","1298","8.3%","18.1%","0.46",".278",".348",".354",".702",".075","3.4",".339","-4.4","-4.2","-0.4","152","-1.8",".313","99","13836","622110"
"Brian Dozier","- - -","1130","11.7%","21.2%","0.55",".224",".319",".403",".722",".180","3.8",".252","0.1","-2.6","-0.6","133","-3.9",".313","93","9810","572821"
"Stephen Piscotty","OAK","1496","6.8%","23.2%","0.29",".245",".305",".423",".728",".179","3.4",".287","1.8","-3.9","1.3","175","-4.9",".313","101","13367","572039"
"Nico Hoerner","CHC","895","6.7%","13.1%","0.51",".277",".333",".385",".718",".108","5.7",".308","1.4","-0.6","1.8","105","-0.7",".313","98","21479","663538"
"Adam Duvall","- - -","1636","7.0%","29.6%","0.24",".221",".284",".452",".736",".232","3.4",".258","0.8","4.8","-1.2","193","-2.5",".312","94","10950","594807"
"Harold Ramirez","- - -","1253","4.2%","17.6%","0.24",".281",".320",".405",".725",".124","3.2",".327","1.9","-0.1","-2.7","148","-3.0",".312","101","14387","623912"
"Jason Heyward","CHC","1763","10.1%","17.4%","0.58",".246",".328",".392",".720",".146","4.8",".280","8.3","1.6","0.1","209","-5.3",".312","94","4940","518792"
"Ke'Bryan Hayes","PIT","1051","8.4%","21.8%","0.38",".261",".326",".386",".712",".125","5.6",".324","1.2","-1.6","2.6","124","0.5",".312","97","18577","663647"
"Cameron Maybin","- - -","787","9.9%","23.4%","0.42",".252",".330",".385",".715",".132","4.9",".319","-0.2","0.7","-0.5","93","-2.8",".312","97","5223","457727"
"Phillip Ervin","- - -","596","8.7%","24.3%","0.36",".246",".322",".402",".724",".155","6.0",".309","3.8","0.2","0.1","70","-2.8",".312","89","14738","640447"
"Adam Jones","- - -","1141","4.8%","17.0%","0.28",".271",".313",".417",".730",".146","3.2",".305","0.8","-4.0","0.3","133","-5.1",".312","93","6368","430945"
"Matt Davidson","- - -","580","10.2%","32.9%","0.31",".217",".305",".411",".716",".194","1.1",".289","-2.0","-0.1","-0.7","67","-1.4",".312","97","7226","571602"
"Gavin Lux","LAD","1003","10.1%","22.0%","0.46",".253",".329",".383",".712",".130","6.0",".315","4.5","3.8","0.6","118","-1.4",".312","99","19955","666158"
"Heath Fillmyer","KCR","5","0.0%","60.0%","0.00",".250",".250",".500",".750",".250","0.1","1.000","","","0.0","1","0.0",".312","94","17466","641571"
"Alec Bohm","PHI","1228","6.4%","20.9%","0.30",".277",".324",".391",".715",".114","3.3",".334","0.5","-2.2","-1.4","144","-0.8",".312","96","21618","664761"
"Mark Reynolds","- - -","397","11.6%","30.5%","0.38",".217",".312",".411",".723",".194","2.3",".273","-3.6","-1.4","0.2","46","-2.1",".312","86","7619","448602"
"Melky Cabrera","- - -","675","5.5%","11.7%","0.47",".280",".322",".408",".730",".127","2.7",".301","-1.5","-2.7","-0.2","79","-3.8",".312","92","4022","466320"
"Pablo Sandoval","- - -","728","7.7%","22.4%","0.34",".244",".307",".426",".734",".182","2.1",".281","-1.9","-1.7","-0.2","85","-3.4",".311","95","5409","467055"
"Jason Vosler","SFG","193","8.8%","25.9%","0.34",".228",".306",".421",".727",".193","5.4",".276","-0.7","-1.1","0.1","22","-0.2",".311","100","16686","613564"
"Tyler Flowers","ATL","686","10.8%","31.3%","0.34",".227",".329",".382",".712",".156","2.6",".318","-2.3","-0.2","-0.4","80","-3.7",".311","90","9134","452095"
"Jack Suwinski","PIT","372","11.0%","30.6%","0.36",".202",".298",".411",".709",".209","3.1",".242","0.3","0.6","-0.3","43","0.5",".311","100","22244","669261"
"Ryan LaMarre","- - -","230","6.5%","27.8%","0.23",".263",".317",".402",".719",".139","2.8",".345","-0.2","0.2","-0.6","26","-0.7",".311","95","10700","534606"
"Bobby Witt Jr.","KCR","632","4.7%","21.4%","0.22",".254",".294",".428",".722",".174","7.2",".295","3.7","0.4","2.7","73","0.7",".311","99","25764","677951"
"Tony Kemp","- - -","1643","10.2%","13.7%","0.74",".247",".334",".370",".704",".123","5.0",".273","2.9","2.6","0.9","192","-4.2",".311","102","14894","643393"
"Trayce Thompson","- - -","427","10.8%","36.1%","0.30",".208",".296",".421",".717",".213","5.1",".284","1.9","1.7","0.7","49","-0.8",".311","99","9952","572204"
"Starlin Castro","- - -","1732","6.1%","17.9%","0.34",".276",".318",".411",".729",".135","2.9",".316","-0.4","-4.5","-2.4","201","-9.1",".311","95","4579","516770"
"Jonathan Villar","- - -","2161","8.4%","25.9%","0.33",".254",".320",".397",".717",".143","6.0",".324","9.3","1.2","9.8","253","-9.4",".311","94","10071","542340"
"Trent Grisham","- - -","1486","10.9%","25.6%","0.43",".222",".316",".395",".711",".173","5.7",".274","4.0","2.2","2.1","174","-4.0",".311","98","18564","663757"
"Matt Wallner","MIN","65","9.2%","38.5%","0.24",".228",".323",".386",".709",".158","2.8",".367","0.0","0.3","0.1","7","0.0",".311","104","26466","670242"
"Evan Gattis","HOU","451","7.3%","22.4%","0.33",".226",".284",".452",".736",".226","1.9",".232","-1.7","-1.0","0.0","51","-1.5",".311","99","11003","594828"
"Pavin Smith","ARI","866","8.7%","20.9%","0.41",".253",".320",".392",".712",".140","3.8",".301","-2.6","0.3","-0.2","101","-1.7",".311","93","19892","656976"
"Kyle Seager","SEA","1991","8.7%","21.0%","0.41",".224",".298",".432",".729",".207","3.1",".241","-4.0","3.1","-0.8","232","-9.4",".310","99","9785","572122"
"Justin Dunn","- - -","4","0.0%","75.0%","0.00",".250",".250",".500",".750",".250","0.1","1.000","","","0.0","0","0.0",".310","103","19268","643290"
"Hunter Pence","- - -","620","6.5%","23.1%","0.28",".250",".300",".435",".735",".185","5.0",".290","2.8","1.4","1.1","73","-3.2",".310","89","8252","452254"
"MJ Melendez","KCR","534","12.4%","24.5%","0.50",".217",".313",".393",".706",".176","3.1",".258","-0.7","1.7","-1.3","61","0.2",".310","99","22197","669004"
"Curtis Granderson","- - -","766","12.4%","26.6%","0.47",".214",".318",".395",".713",".182","3.4",".267","-8.3","1.2","-1.7","87","-5.3",".310","94","4747","434158"
"Danny Valencia","BAL","282","7.8%","18.8%","0.42",".263",".316",".408",".723",".145","2.5",".293","-2.0","-1.6","-0.4","32","-1.1",".310","94","6364","502143"
"Justin Bour","- - -","671","13.4%","26.2%","0.51",".213",".320",".394",".714",".181","2.3",".251","-7.2","-0.3","0.0","76","-3.8",".310","96","9744","571506"
"Didi Gregorius","- - -","1790","6.6%","14.1%","0.47",".243",".300",".430",".729",".186","4.9",".247","4.8","3.7","-1.0","207","-8.7",".310","93","6012","544369"
"Kendrys Morales","- - -","672","11.3%","18.0%","0.63",".233",".326",".384",".710",".151","1.6",".254","-3.9","-2.1","-1.2","76","-4.1",".310","94","8610","434778"
"Gary Sanchez","- - -","1909","10.3%","28.3%","0.36",".202",".295",".427",".722",".225","2.2",".228","-5.7","-1.6","-1.0","221","-8.0",".310","96","11442","596142"
"Luis Guillorme","NYM","703","11.5%","14.7%","0.79",".267",".354",".334",".688",".067","2.4",".315","-2.4","-3.3","-0.8","81","-2.2",".309","101","16451","641645"
"Jeremy Pena","HOU","558","3.9%","24.2%","0.16",".253",".289",".426",".715",".173","5.3",".298","1.0","1.8","0.9","64","-0.3",".309","102","21636","665161"
"Rafael Ortega","- - -","940","9.8%","20.1%","0.49",".253",".328",".376",".704",".122","4.8",".303","-2.2","-1.4","-0.6","108","-3.4",".309","95","10323","542364"
"Nomar Mazara","- - -","1506","6.8%","23.4%","0.29",".253",".310",".409",".719",".155","3.1",".307","-0.6","1.1","-0.8","173","-9.2",".309","88","14553","608577"
"Miguel Cabrera","DET","1896","8.5%","21.4%","0.40",".266",".330",".382",".712",".116","1.2",".320","-13.7","-4.6","-1.2","219","-10.4",".309","95","1744","408234"
"Nick Gordon","MIN","659","4.7%","24.3%","0.19",".261",".308",".403",".711",".142","5.5",".330","1.1","-1.7","0.6","75","-1.6",".309","101","16337","624503"
"Matt Adams","- - -","761","7.0%","28.3%","0.25",".225",".285",".448",".733",".223","1.3",".259","-4.2","-0.8","-0.3","86","-6.0",".308","88","9393","571431"
"Cesar Hernandez","- - -","2890","9.3%","19.4%","0.48",".256",".330",".373",".703",".117","4.6",".307","2.4","-0.7","0.2","331","-16.0",".308","92","10556","514917"
"Dylan Moore","SEA","1073","10.5%","30.0%","0.35",".208",".317",".384",".701",".176","7.0",".277","4.3","-1.4","0.8","124","-6.6",".308","100","18042","664238"
"Eric Haase","- - -","785","6.6%","30.1%","0.22",".234",".287",".433",".720",".199","3.0",".289","-0.3","-1.4","-0.2","90","-3.0",".308","99","14111","606992"
"Daniel Descalso","- - -","617","14.1%","27.1%","0.52",".217",".327",".375",".703",".159","4.0",".283","0.7","1.6","-0.8","69","-4.9",".308","90","8392","518614"
"Nick Solak","TEX","974","7.6%","20.2%","0.38",".252",".327",".372",".700",".120","4.7",".302","3.7","-0.2","-0.4","113","-6.0",".308","93","19294","669256"
"David Bote","CHC","1165","9.7%","26.7%","0.36",".231",".318",".393",".710",".162","4.0",".292","2.9","-3.0","-1.1","134","-7.7",".308","91","14593","623520"
"Brock Holt","- - -","1028","9.4%","19.7%","0.48",".258",".336",".365",".700",".107","4.2",".317","-4.5","-0.8","-1.2","117","-7.5",".308","90","9345","571788"
"Charlie Culberson","- - -","868","5.6%","26.3%","0.21",".256",".304",".418",".721",".161","5.1",".328","2.4","-0.1","-0.8","98","-5.2",".308","91","3298","518586"
"Todd Frazier","- - -","1183","8.6%","22.5%","0.38",".228",".310",".402",".712",".174","3.7",".263","-1.0","0.1","-1.4","135","-9.5",".308","95","785","453943"
"Jason Kipnis","- - -","1247","9.5%","19.3%","0.49",".237",".313",".399",".713",".162","3.7",".267","0.2","2.4","1.0","141","-10.6",".307","90","9776","543401"
