Name,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
Damien Magnifico,0,2,,,,,,,,,,,,,,,,,,,,,,,,
Luke Bard,0,1,0,0,0,0,0,0,0,0,,,,,0,0,5.4,1.286,8,0,0,11.2,10,4,5,13
Jandel Gustave,0,2,0,0,0,0,0,0,0,0,,,,,1,0,3.98,1.426,20,0,0,20.1,18,2,11,18
Mike Miller,0,2,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo Rodríguez,0,2,0,0,0,0,0,0,0,0,,,,,0,1,5.49,1.678,20,0,1,19.2,28,3,5,14
Jamie Callahan,0,1,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Danish,0,3,0,0,0,0,0,0,0,0,,,,,2,0,4.85,2.308,11,1,0,13,17,2,13,11
Donovan Solano,0,5,370,1068,99,274,9,99,11,65,0.257,0.306,0.331,0.636,,,,,,,,,,,,
Beau Taylor,0,1,7,5,0,1,0,0,0,1,0.2,0.333,0.4,0.733,,,,,,,,,,,,
Allen Webster,0,4,12,11,1,0,0,0,0,0,0,0,0,0,8,6,6.13,1.589,31,23,0,123.1,129,21,67,79
Buddy Boshers,0,3,6,0,0,0,0,0,0,0,,,,,3,0,4.59,1.274,100,0,0,86.1,85,10,25,78
Edward Paredes,0,2,23,0,0,0,0,0,0,0,,,,,3,0,4.5,1.063,25,0,0,16,15,3,2,19
Steven Baron,0,2,6,16,0,1,0,0,0,0,0.063,0.063,0.063,0.125,,,,,,,,,,,,
Brandon Barnes,0,6,484,1172,133,284,20,102,22,67,0.242,0.29,0.357,0.647,,,,,,,,,,,,
Nolan Fontana,0,2,20,31,2,2,2,2,1,4,0.065,0.171,0.258,0.429,,,,,,,,,,,,
Ariel Hernández,0,1,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Arcia,0,1,40,103,10,21,6,23,1,1,0.204,0.226,0.427,0.654,0,0,9,1.667,2,0,0,3,5,2,0,0
Chris Smith,0,1,,,,,,,,,,,,,,,,,,,,,,,,
Jim Adduci,0,4,149,391,48,92,5,39,7,29,0.235,0.286,0.34,0.626,,,,,,,,,,,,
Gorkys Hernández,0,5,374,939,117,220,20,79,28,74,0.234,0.295,0.357,0.652,,,,,,,,,,,,
Jon Berti,0,1,4,15,2,4,0,2,1,0,0.267,0.267,0.467,0.733,,,,,,,,,,,,
Deven Marrero,0,4,158,314,51,62,5,37,10,23,0.197,0.25,0.283,0.533,,,,,,,,,,,,
Zack Weiss,0,1,1,0,0,0,0,0,0,0,,,,,0,0,inf,,1,0,0,0,2,2,2,0
Matt Skole,0,1,4,11,2,3,1,1,0,2,0.273,0.385,0.545,0.93,,,,,,,,,,,,
Zach Lee,0,3,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Bostick,0,2,35,43,6,11,0,3,0,6,0.256,0.36,0.326,0.686,,,,,,,,,,,,
Jake Buchanan,0,4,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Lavarnway,0,7,146,390,31,81,7,43,0,30,0.208,0.268,0.326,0.593,,,,,,,,,,,,
Jeremy Bleich,-0.1,1,1,0,0,0,0,0,0,0,,,,,0,0,54,6,2,0,0,0.1,2,0,0,1
Anthony Bass,-0.1,7,89,38,3,4,0,6,1,0,0.105,0.105,0.158,0.263,5,9,4.51,1.406,147,18,3,299.1,311,30,110,202
Adam Moore,-0.1,9,104,292,21,58,7,23,2,13,0.199,0.239,0.312,0.55,,,,,,,,,,,,
Matt Davidson,-0.1,4,273,926,103,209,49,143,0,81,0.226,0.295,0.435,0.73,0,0,0,0.667,3,0,0,3,1,0,1,2
Dean Kiekhefer,-0.1,2,26,1,0,0,0,0,0,0,0,0,0,0,0,0,6.38,1.625,30,0,0,24,31,3,8,15
Paolo Espino,-0.1,1,6,4,0,1,0,0,0,0,0.25,0.25,0.25,0.5,0,0,6,1.375,12,2,0,24,23,7,10,20
Bo Schultz,-0.1,4,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Brentz,-0.1,4,,,,,,,,,,,,,,,,,,,,,,,,
Dietrich Enns,-0.1,1,1,2,0,1,0,0,0,0,0.5,0.5,0.5,1,0,0,6.75,2,2,1,0,4,7,2,1,2
Matt McBride,-0.1,6,,,,,,,,,,,,,,,,,,,,,,,,
Jairo Díaz,-0.1,3,23,0,0,0,0,0,0,0,,,,,0,1,3.64,1.551,30,0,0,29.2,32,2,14,28
Zac Curtis,-0.1,3,30,0,0,0,0,0,0,0,,,,,0,2,4.74,1.737,42,0,0,38,31,4,35,34
Phillip Evans,-0.1,2,34,54,5,13,0,2,1,6,0.241,0.328,0.278,0.606,,,,,,,,,,,,
Gabriel Guerrero,-0.1,1,14,18,1,3,1,1,0,0,0.167,0.167,0.333,0.5,,,,,,,,,,,,
Aristides Aquino,-0.1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Josh Lucas,-0.1,2,6,0,0,0,0,0,0,0,,,,,0,0,5.4,1.662,13,1,0,21.2,23,3,13,21
Zach Vincej,-0.1,2,10,13,2,3,0,1,0,1,0.231,0.375,0.231,0.606,,,,,,,,,,,,
Joe Hudson,-0.1,1,8,12,0,2,0,1,0,0,0.167,0.167,0.25,0.417,,,,,,,,,,,,
Jett Bandy,-0.1,4,156,444,43,97,16,45,2,29,0.218,0.282,0.365,0.647,,,,,,,,,,,,
Brett Nicholas,-0.2,2,,,,,,,,,,,,,,,,,,,,,,,,
Mason Williams,-0.2,4,76,187,20,54,3,12,3,10,0.289,0.325,0.396,0.721,,,,,,,,,,,,
Jason Adam,-0.2,1,1,0,0,0,0,0,0,0,,,,,0,3,6.12,1.392,31,0,0,32.1,30,9,15,37
Collin Cowgill,-0.2,7,,,,,,,,,,,,,,,,,,,,,,,,
Tim Federowicz,-0.2,7,134,331,25,66,8,32,0,20,0.199,0.247,0.323,0.57,,,,,,,,,,,,
Sherman Johnson,-0.2,1,10,10,0,0,0,0,0,0,0,0.091,0,0.091,,,,,,,,,,,,
Dustin Ackley,-0.2,7,,,,,,,,,,,,,,,,,,,,,,,,
Drew Hutchison,-0.2,5,23,11,0,3,0,0,0,1,0.273,0.333,0.273,0.606,32,23,5.1,1.403,98,79,0,460.1,489,68,157,415
Pat Venditte,-0.2,3,16,1,0,0,0,0,0,0,0,0,0,0,2,2,4.45,1.284,56,0,0,64.2,57,9,26,51
Eduardo Paredes,-0.2,2,1,0,0,0,0,0,0,0,,,,,0,1,5.53,1.451,32,0,1,40.2,46,7,13,32
Corban Joseph,-0.2,2,16,24,2,5,0,3,0,2,0.208,0.269,0.292,0.561,,,,,,,,,,,,
Dilson Herrera,-0.2,3,102,236,24,48,11,28,2,26,0.203,0.293,0.394,0.687,,,,,,,,,,,,
Mike Hauschild,-0.2,2,0,0,0,0,0,0,0,0,,,,,1,1,7.71,1.653,6,1,0,16.1,21,5,6,12
Anthony Gose,-0.3,5,372,1128,155,271,12,69,57,101,0.24,0.309,0.348,0.656,,,,,,,,,,,,
Tyler Pill,-0.3,1,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Faulkner,-0.3,3,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Cloyd,-0.3,4,23,32,3,3,0,1,0,5,0.094,0.216,0.125,0.341,5,9,6.35,1.652,27,17,0,112,143,18,42,85
Casey Sadler,-0.3,3,9,3,0,0,0,0,0,0,0,0,0,0,1,1,6.86,1.729,9,1,0,19.2,25,1,9,15
Eric Campbell,-0.3,3,196,438,53,97,7,44,9,53,0.221,0.312,0.311,0.622,,,,,,,,,,,,
Felix Jorge,-0.3,1,,,,,,,,,,,,,,,,,,,,,,,,
Tomás Telis,-0.3,5,122,252,25,58,1,24,0,7,0.23,0.267,0.298,0.565,,,,,,,,,,,,
Carlos Pérez,-0.3,4,212,618,47,133,11,58,4,34,0.215,0.257,0.319,0.576,,,,,,,,,,,,
Colin Rea,-0.3,2,27,42,5,6,0,1,0,3,0.143,0.2,0.167,0.367,7,7,4.69,1.385,26,25,0,134.1,131,14,55,106
Alberto Rosario,-0.3,2,,,,,,,,,,,,,,,,,,,,,,,,
Phil Gosselin,-0.3,6,276,532,72,140,7,35,7,36,0.263,0.314,0.361,0.675,,,,,,,,,,,,
Gregorio Petit,-0.3,6,197,458,55,114,4,35,4,27,0.249,0.294,0.343,0.637,,,,,,,,,,,,
Ryan Weber,-0.3,4,22,17,0,0,0,0,0,0,0,0,0,0,1,5,5.01,1.249,24,8,0,73.2,79,10,13,43
Bobby Wilson,-0.3,9,371,888,81,185,18,100,0,68,0.208,0.264,0.313,0.577,,,,,,,,,,,,
Andrés Machado,-0.3,1,0,0,0,0,0,0,0,0,,,,,0,0,22.09,3.545,2,0,0,3.2,10,2,3,1
Kyle Crockett,-0.3,5,24,0,0,0,0,0,0,0,,,,,5,1,3.74,1.393,122,0,0,74.2,79,4,25,73
Jace Peterson,-0.3,5,479,1327,139,303,18,126,35,168,0.228,0.318,0.33,0.648,0,0,36,6,1,0,0,1,6,1,0,1
Ramón Torres,-0.4,2,42,102,13,23,0,5,1,5,0.225,0.269,0.265,0.533,,,,,,,,,,,,
Brad Boxberger,-0.4,7,115,3,0,0,0,0,0,0,0,0,0,0,20,27,3.42,1.28,291,0,76,284.1,219,40,145,368
Eric Stout,-0.4,1,0,0,0,0,0,0,0,0,,,,,0,0,23.14,3.857,3,0,0,2.1,7,2,2,2
Matt Harvey,-0.4,6,129,250,8,27,1,14,0,4,0.108,0.122,0.148,0.27,41,44,3.8,1.202,133,128,0,767.1,719,86,203,723
Rex Brothers,-0.4,7,301,4,0,0,0,0,0,0,0,0,0,0,20,14,3.79,1.496,314,0,20,266,244,24,154,311
Tony Renda,-0.4,2,33,60,5,11,0,3,0,5,0.183,0.246,0.217,0.463,,,,,,,,,,,,
Christian Bergman,-0.5,5,56,37,2,5,0,1,0,1,0.135,0.158,0.135,0.293,11,15,5.59,1.474,71,25,0,215.2,269,40,49,130
Gordon Beckham,-0.5,10,986,3180,391,759,74,336,32,253,0.239,0.302,0.366,0.669,,,,,,,,,,,,
Taylor Featherston,-0.5,3,,,,,,,,,,,,,,,,,,,,,,,,
Chi Chi González,-0.5,2,0,0,0,0,0,0,0,0,,,,,4,8,4.54,1.435,17,13,0,77.1,70,7,41,37
Preston Guilmet,-0.5,4,5,0,0,0,0,0,0,0,,,,,0,2,9.27,1.697,27,0,0,33,43,10,13,27
Ryan Flaherty,-0.6,7,533,1303,148,281,37,141,10,112,0.216,0.286,0.347,0.633,,,,,,,,,,,,
Rubén Tejada,-0.6,8,657,2110,224,530,10,158,16,202,0.251,0.325,0.318,0.643,,,,,,,,,,,,
Travis Taijeron,-0.6,1,,,,,,,,,,,,,,,,,,,,,,,,
Chris Rowley,-0.6,2,0,0,0,0,0,0,0,0,,,,,1,3,7.91,1.914,8,3,0,19.1,26,5,11,11
Trevor Plouffe,-0.6,9,830,2933,364,710,106,379,12,246,0.242,0.304,0.41,0.714,,,,,,,,,,,,
Brett Anderson,-0.6,10,53,79,1,8,0,5,0,6,0.101,0.165,0.139,0.304,46,52,4.09,1.341,157,145,3,821.1,884,78,217,592
Roberto Gómez,-0.6,2,8,2,0,0,0,0,0,0,0,0,0,0,1,0,7.98,2.114,9,0,0,14.2,29,0,2,14
Kevin Quackenbush,-0.6,5,197,1,0,0,0,0,0,0,0,0,0,0,13,15,4.38,1.329,203,0,8,207.2,194,24,82,186
Jesmuel Valentín,-0.7,1,46,79,8,14,1,6,0,8,0.177,0.258,0.304,0.562,0,0,27,4,1,0,0,1,2,1,2,1
Jake Elmore,-0.7,5,197,418,34,90,4,33,4,48,0.215,0.297,0.28,0.577,,,,,,,,,,,,
Orlando Calixte,-0.7,3,,,,,,,,,,,,,,,,,,,,,,,,
Javy Guerra,-0.7,8,148,1,0,0,0,0,0,1,0,0.5,0,0.5,8,11,3.42,1.42,201,0,31,213.1,209,14,94,171
Mike Morin,-0.7,5,10,0,0,0,0,0,0,0,,,,,10,8,4.66,1.282,186,0,1,174,174,15,49,166
Mike Zagurski,-0.7,6,84,0,0,0,0,0,0,0,,,,,1,1,7.78,1.808,91,0,0,76.1,90,11,48,77
Trayce Thompson,-0.7,4,202,535,69,110,22,59,9,52,0.206,0.276,0.389,0.664,,,,,,,,,,,,
Josh Smoker,-0.7,3,75,4,0,0,0,0,0,0,0,0,0,0,4,2,5.35,1.696,82,0,0,79,91,16,43,97
Rob Refsnyder,-0.8,4,166,367,46,80,4,22,8,47,0.218,0.308,0.302,0.61,,,,,,,,,,,,
Andrew Romine,-0.8,9,581,1198,149,282,10,81,40,82,0.235,0.291,0.301,0.591,0,0,12.71,2.647,7,0,0,5.2,10,3,5,1
Rookie Davis,-0.8,1,7,6,0,1,0,0,0,0,0.167,0.286,0.333,0.619,1,3,8.63,2.167,7,6,0,24,38,7,14,20
Tom Koehler,-0.8,6,,,,,,,,,,,,,,,,,,,,,,,,
Josh Thole,-0.8,9,,,,,,,,,,,,,,,,,,,,,,,,
Jake Petricka,-0.8,6,15,1,0,0,0,0,0,0,0,0,0,0,10,12,3.98,1.52,222,0,16,223.2,249,18,91,172
Rafael Montero,-0.8,4,55,43,1,2,0,1,0,0,0.047,0.047,0.047,0.093,6,16,5.38,1.705,58,30,0,192.1,217,24,111,189
Pete Kozma,-0.8,7,341,735,89,158,5,62,8,63,0.215,0.278,0.291,0.569,,,,,,,,,,,,
Drew Butera,-0.9,9,497,1223,112,246,19,111,0,82,0.201,0.258,0.299,0.558,0,0,8.31,2.077,6,0,0,4.1,5,1,4,4
Justin Nicolino,-0.9,3,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo Pinto,-0.9,1,25,1,1,0,0,0,0,0,0,0,0,0,1,2,7.89,1.888,25,0,0,29.2,39,7,17,25
Burch Smith,-0.9,2,10,9,0,1,0,0,0,1,0.111,0.2,0.111,0.311,2,9,6.77,1.662,48,13,0,114.1,129,24,61,123
Cameron Perkins,-0.9,1,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Ortega,-0.9,3,109,322,34,76,1,23,14,24,0.236,0.291,0.286,0.577,,,,,,,,,,,,
Daniel Hudson,-1,9,282,108,7,24,1,21,0,5,0.222,0.261,0.296,0.557,40,32,3.99,1.27,310,60,9,619.2,591,63,196,545
Francisco Peña,-1,5,86,190,18,41,5,13,1,8,0.216,0.249,0.311,0.559,,,,,,,,,,,,
Emilio Bonifácio,-1,11,831,2610,355,669,13,165,166,215,0.256,0.313,0.333,0.645,,,,,,,,,,,,
Jeanmar Gómez,-1,9,219,19,0,3,0,0,0,0,0.158,0.158,0.158,0.316,27,30,4.4,1.433,299,46,40,540,596,60,178,348
Andrés Blanco,-1,14,,,,,,,,,,,,,,,,,,,,,,,,
Chris Beck,-1,4,17,2,0,0,0,0,0,0,0,0,0,0,4,4,5.88,1.715,103,1,1,130,148,27,75,86
Mike Freeman,-1,3,57,82,7,11,1,2,0,8,0.134,0.211,0.207,0.418,0,0,9,3,1,0,0,1,3,0,0,0
Jake Smolinski,-1,5,234,608,67,143,16,67,3,43,0.235,0.299,0.363,0.663,0,0,18,2,1,0,0,1,2,1,0,0
Asher Wojciechowski,-1.1,2,23,14,0,1,0,0,0,0,0.071,0.071,0.071,0.143,4,4,6.64,1.525,30,11,0,78.2,94,16,26,80
Luis Sardinas,-1.1,5,182,459,50,103,5,32,10,29,0.224,0.274,0.292,0.566,,,,,,,,,,,,
Billy Burns,-1.1,4,,,,,,,,,,,,,,,,,,,,,,,,
Junichi Tazawa,-1.2,9,90,1,0,0,0,0,0,0,0,0,0,0,21,26,4.12,1.32,388,4,4,395.1,413,49,109,374
Dixon Machado,-1.2,4,172,458,44,104,2,37,3,34,0.227,0.285,0.295,0.579,,,,,,,,,,,,
Tyler Goeddel,-1.2,2,,,,,,,,,,,,,,,,,,,,,,,,
Jose Lobatón,-1.2,9,413,1134,109,244,21,107,0,121,0.215,0.293,0.319,0.612,,,,,,,,,,,,
Cristhian Adames,-1.2,4,166,306,31,63,2,20,2,28,0.206,0.283,0.278,0.561,,,,,,,,,,,,
Shelby Miller,-1.2,7,127,201,16,22,1,7,0,10,0.109,0.159,0.184,0.343,37,53,3.83,1.322,131,124,0,714.1,675,75,269,592
Brooks Pounders,-1.2,3,14,0,0,0,0,0,0,0,,,,,3,2,8.92,1.852,38,0,0,38.1,61,13,10,42
Evan Marshall,-1.2,5,81,0,0,0,0,0,0,0,,,,,4,7,5.15,1.737,101,0,0,92.2,122,9,39,83
Chris Stewart,-1.3,12,457,1184,106,272,9,90,6,99,0.23,0.297,0.291,0.588,,,,,,,,,,,,
Odrisamer Despaigne,-1.3,5,82,78,0,5,0,1,0,2,0.064,0.088,0.077,0.164,13,24,4.94,1.416,106,47,1,349.2,372,33,123,217
Daniel Castro,-1.3,3,98,272,24,57,3,18,1,11,0.21,0.24,0.265,0.505,,,,,,,,,,,,
Preston Tucker,-1.4,3,243,600,65,133,23,68,0,41,0.222,0.281,0.403,0.684,,,,,,,,,,,,
Gerardo Parra,-1.4,10,1347,4487,582,1248,79,474,88,293,0.278,0.325,0.405,0.73,,,,,,,,,,,,
Tuffy Gosewisch,-1.4,5,,,,,,,,,,,,,,,,,,,,,,,,
Justin Grimm,-1.5,7,249,7,0,0,0,0,0,0,0,0,0,0,20,23,4.98,1.402,306,19,4,356,345,44,154,361
Danny Santana,-1.5,5,364,1095,152,280,13,100,48,48,0.256,0.292,0.375,0.667,,,,,,,,,,,,
Cody Asche,-1.7,5,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Milone,-1.7,8,35,43,4,7,1,7,0,3,0.163,0.217,0.233,0.45,46,37,4.42,1.345,151,130,2,763,837,121,189,554
Jordan Lyles,-1.8,8,189,172,13,21,2,11,0,10,0.122,0.17,0.18,0.351,31,52,5.28,1.457,217,115,2,768.2,860,97,260,550
Grégor Blanco,-2,10,1060,2929,394,746,26,235,122,363,0.255,0.338,0.348,0.687,,,,,,,,,,,,
Alcides Escobar,-2.1,11,1437,5307,605,1367,41,442,174,231,0.258,0.293,0.343,0.636,,,,,,,,,,,,
Brandon Maurer,-2.4,6,157,1,0,0,0,0,0,0,0,0,0,0,16,31,5.36,1.442,289,21,36,371,407,47,128,326
Homer Bailey,-2.6,12,205,368,22,59,0,17,0,11,0.16,0.187,0.182,0.369,67,77,4.56,1.377,212,212,0,1230.1,1287,153,407,1001
JB Shuck,-3,6,433,1125,133,275,8,84,24,79,0.244,0.294,0.316,0.61,0,0,9,1,1,0,0,1,1,0,0,0
Chris Dominguez,,4,,,,,,,,,,,,,,,,,,,,,,,,
Wilkin Castillo,,2,22,35,6,11,0,2,0,1,0.314,0.333,0.343,0.676,,,,,,,,,,,,
Sean Nolin,,3,0,0,0,0,0,0,0,0,,,,,1,3,6.89,1.787,8,7,0,31.1,43,6,13,15
Casey Coleman,,8,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Barrett,,2,83,0,0,0,0,0,0,0,,,,,6,3,3.47,1.257,90,0,0,70,61,2,27,84
J.D. Martin,,9,,,,,,,,,,,,,,,,,,,,,,,,
Jenrry Mejia,,8,,,,,,,,,,,,,,,,,,,,,,,,
Mike Olt,,6,,,,,,,,,,,,,,,,,,,,,,,,
Justin De Fratus,,7,,,,,,,,,,,,,,,,,,,,,,,,
Brian Schlitter,,3,74,1,0,1,0,0,0,0,1,1,1,2,3,6,5.4,1.591,78,0,0,71.2,88,6,26,42
Tony Sanchez,,5,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Schlereth,,9,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Lindgren,,3,,,,,,,,,,,,,,,,,,,,,,,,
Rob Wooten,,5,,,,,,,,,,,,,,,,,,,,,,,,
Allen Craig,,8,,,,,,,,,,,,,,,,,,,,,,,,
Dean Anna,,4,,,,,,,,,,,,,,,,,,,,,,,,
Tim Dillard,,10,,,,,,,,,,,,,,,,,,,,,,,,
R.J. Alvarez,,2,10,0,0,0,0,0,0,0,,,,,0,0,7.39,1.714,31,0,0,28,30,7,18,32
Mike Kickham,,2,12,6,0,1,0,0,0,0,0.167,0.167,0.333,0.5,0,3,10.98,2.143,14,3,0,30.1,54,9,11,30
Wilfredo Tovar,,2,9,18,1,3,0,2,1,1,0.167,0.25,0.167,0.417,,,,,,,,,,,,
Scott McGough,,1,6,0,0,0,0,0,0,0,,,,,0,0,9.45,2.4,6,0,0,6.2,12,0,4,4
